Student Number ,Section,Age,Gender,Residency Category,Parent's monthly income,Last School Attended(High School),Track,General Weighted Average(GWA) - Grade 11 and 12,Mathematics in the Modern World,Introduction to Computing,Fundamentals of Programming (C++),Purposive Communication,Intermediate Programming(Java),Discrete Mathematics,"Are you affiliated in any School Organization in the university? (example Computer Society, PASIGYAW, LUNDAYAN, Himig Chorale)"
21-00357,BSIT-1A,18,Male,PR,"below 9,520.00",Public,STEM,90 - 95,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No
21-00285,BSIT-1B,18,Female,PR,"below 9,520.00",Public,STEM,90 - 95,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,No
21-01024,BSIT-1C,18,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.99  - 1.50,2.49 - 2.00,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,No
21-00006,BSIT-1B,20,Female,PR,"below 9,520.00",Private,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,No
21-00991,BSIT-1C,19,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No
21-00268,BSIT-1A,19,Male,PR,"9,520.00 - 19,040.00",Public,STEM,90 - 95,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,2.49 - 2.00,1.49 - 1.00,2.49 - 2.00,No
21-00095,BSIT-1B,19,Female,PR,"19,041.00 - 38,080.00",Private,STEM,90 - 95,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,No
21-01069,BSIT-1D,22,Male,PR,"9,520.00 - 19,040.00",Private,4th year high school,81 - 84,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,Yes
21-01100,BSIT-1D,22,Male,PR,"9,520.00 - 19,040.00",Public,4th year high school,75 - 80,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,below 3.00,below 3.00,No
21-00997,BSIT-1C,21,Male,PR,"below 9,520.00",Public,4th year high school,90 - 95,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,No
21-01095,BSIT-1D,22,Female,PR,"9,520.00 - 19,040.00",Public,4th year high school,85 - 89,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,Yes
21-00951,BSIT-1D,22,Male,PR,"19,041.00 - 38,080.00",Public,4th year high school,85 - 89,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,No
21-00943,BSIT-1D,22,Female,PR,"9,520.00 - 19,040.00",Private,STEM,90 - 95,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,No
21-00681,BSIT-1C,18,Male,PR,"below 9,520.00",Private,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No
21-00922,BSIT-1D,22,Male,PR,"below 9,520.00",Private,TVL,81 - 84,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,below 3.00,below 3.00,No
021-00965,BSIT-1D,22,Female,PR,"below 9,520.00",Public,4th year high school,81 - 84,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,No
21-00854,BSIT-1C,19,Male,PR,"below 9,520.00",Private,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,No
21-00942,BSIT-1D,22,Male,PR,"9,520.00 - 19,040.00",Private,4th year high school,81 - 84,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,Yes
21-00862,BSIT-1B,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,No
21-01005,BSIT-1D,22,Female,PR,"below 9,520.00",Public,4th year high school,75 - 80,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,below 3.00,No
02-00958,BSIT-1D,22,Male,PR,"below 9,520.00",Public,4th year high school,85 - 89,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,No
21-01088,BSIT-1D,22,Male,PR,"below 9,520.00",Private,4th year high school,85 - 89,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,1.49 - 1.00,2.50 - 3.00,No
21-00659,BSIT-1C,19,Female,PR,"below 9,520.00",Private,TVL,90 - 95,1.49 - 1.00,2.49 - 2.00,1.49 - 1.00,1.49 - 1.00,2.49 - 2.00,2.49 - 2.00,Yes
21-00661,BSIT-1A,19,Female,PR,"9,520.00 - 19,040.00",Private,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,No
21-00960,BSIT-1D,22,Female,PR,"below 9,520.00",Public,4th year high school,85 - 89,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,Yes
21-00954,BSIT-1D,22,Male,PR,"9,520.00 - 19,040.00",Public,4th year high school,85 - 89,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,No
21-00693,BSIT-1A,19,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,No
21-00775,BSIT-1B,19,Female,PR,"below 9,520.00",Public,TVL,85 - 89,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,No
21-00924,BSIT-1D,22,Female,PR,"9,520.00 - 19,040.00",Private,4th year high school,75 - 80,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,No
21-00925,BSIT-1D,22,Female,PR,"below 9,520.00",Public,4th year high school,75 - 80,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,No
21-01089,BSIT-1D,22,Male,PR,"below 9,520.00",Private,TVL,81 - 84,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,No
21-00148,BSIT-1B,18,Male,PR,"9,520.00 - 19,040.00",Public,STEM,90 - 95,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,Yes
21-01087,BSIT-1D,22,Male,PR,"below 9,520.00",Public,4th year high school,85 - 89,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,below 3.00,No
21-00935,BSIT-1D,22,Female,PR,"below 9,520.00",Public,4th year high school,75 - 80,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,Yes
II I-OIOIXI,BSIT-1D,22,Female,PR,"below 9,520.00",Public,4th year high school,75 - 80,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,No
21-00185,BSIT-1A,19,Male,PR,"9,520.00 - 19,040.00",Public,STEM,90 - 95,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,No
21-00421,BSIT-1A,19,Male,PR,"9,520.00 - 19,040.00",Private,STEM,85 - 89,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,below 3.00,No
 21-00734 ,BSIT-1A,18,Female,PR,"9,520.00 - 19,040.00",Public,TVL,96 and above,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,No
21-00746 ,BSIT-1A,19,Female,PR,"9,520.00 - 19,040.00",Public,STEM,90 - 95,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,Yes
21-00595,BSIT-1B,18,Female,PR,"below 9,520.00",Private,STEM,90 - 95,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,No
21-00061,BSIT-1B,19,Female,PR,"9,520.00 - 19,040.00",Private,STEM,90 - 95,1.99  - 1.50,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,No
21-00947,BSIT-1D,22,Female,PR,"9,520.00 - 19,040.00",Public,4th year high school,81 - 84,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,below 3.00,No
21-00090,BSIT-1A,18,Male,PR,"19,041.00 - 38,080.00",Public,STEM,85 - 89,1.99  - 1.50,2.49 - 2.00,1.49 - 1.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,No
21-00377,BSIT-1B,20,Male,PR,"9,520.00 - 19,040.00",Public,STEM,85 - 89,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No
21-00930,BSIT-1D,22,Female,PR,"below 9,520.00",Private,4th year high school,81 - 84,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,No
21-010231023,BSIT-1C,21,Male,PR,"below 9,520.00",Public,TVL,85 - 89,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No
21-00967,BSIT-1D,22,Male,PR,"19,041.00 - 38,080.00",Public,4th year high school,81 - 84,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,No
21-00700,BSIT-1C,19,Male,PR,"below 9,520.00",Public,TVL,81 - 84,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,No
21-01065,BSIT-1D,22,Female,PR,"9,520.00 - 19,040.00",Public,4th year high school,85 - 89,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,No
21-00715,BSIT-1C,20,Male,NPR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No
21-00709,BSIT-1C,19,Female,PR,"below 9,520.00",Public,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,No
21-00908,BSIT-1C,19,Male,NPR,"below 9,520.00",Private,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,No
21-00946,BSIT-1D,22,Female,PR,"9,520.00 - 19,040.00",Private,TVL,85 - 89,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,below 3.00,2.50 - 3.00,Yes
21-00315,BSIT-1B,20,Female,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No
21-00596,BSIT-1B,18,Male,PR,"below 9,520.00",Private,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,No
21-00955,BSIT-1D,22,Female,PR,"below 9,520.00",Public,4th year high school,85 - 89,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,below 3.00,No
21-00010,BSIT-1B,19,Female,PR,"below 9,520.00",Private,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,1.49 - 1.00,2.49 - 2.00,No
12-00058,BSIT-1B,18,Female,PR,"below 9,520.00",Private,STEM,90 - 95,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,No
21-01067,BSIT-1D,22,Male,PR,"9,520.00 - 19,040.00",Private,4th year high school,75 - 80,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,below 3.00,No
10-1239,BSIT-1D,22,Male,PR,"9,520.00 - 19,040.00",Public,4th year high school,85 - 89,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,below 3.00,No
21-00532,BSIT-1B,19,Male,PR,"below 9,520.00",Public,STEM,96 and above,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,1.49 - 1.00,2.49 - 2.00,Yes
21-00996,BSIT-1C,19,Male,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,No
20-00725,BSIT-1C,18,Male,PR,"below 9,520.00",Private,TVL,90 - 95,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No
21-00753,BSIT-1B,19,Male,PR,"9,520.00 - 19,040.00",Public,STEM,85 - 89,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,2.50 - 3.00,No
21-00556,BSIT-1A,18,Male,PR,"below 9,520.00",Public,STEM,90 - 95,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,1.49 - 1.00,2.49 - 2.00,No
21-00159,BSIT-1B,19,Male,PR,"9,520.00 - 19,040.00",Public,STEM,90 - 95,1.49 - 1.00,2.49 - 2.00,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,No
21-00749,BSIT-1C,20,Male,PR,"below 9,520.00",Private,TVL,96 and above,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,No
21-00180,BSIT-1B,19,Male,NPR,"9,520.00 - 19,040.00",Public,STEM,90 - 95,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,No
 21-00416,BSIT-1B,19,Female,PR,"19,041.00 - 38,080.00",Public,STEM,90 - 95,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,No
21-00719 ,BSIT-1C,18,Female,PR,"below 9,520.00",Private,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,No
21-00-980,BSIT-1C,19,Female,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,No
21-00986,BSIT-1C,18,Female,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,Yes
21-00995,BSIT-1C,18,Female,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,1.49 - 1.00,2.50 - 3.00,No
21-00655,BSIT-1C,18,Female,NPR,"9,520.00 - 19,040.00",Private,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,2.50 - 3.00,No
21-00342,BSIT-1B,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,96 and above,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,Yes
21-00057,BSIT-1A,19,Female,PR,"9,520.00 - 19,040.00",Private,STEM,96 and above,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,No
21-000425,BSIT-1B,19,Female,PR,"19,041.00 - 38,080.00",Private,STEM,90 - 95,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,No
