"Student Number ",Section,Age,Gender,"Residency Category","Parent's monthly income","Last School Attended(High School)",Track,"General Weighted Average(GWA) - Grade 11 and 12","Mathematics in the Modern World","Introduction to Computing","Fundamentals of Programming (C++)","Purposive Communication","Intermediate Programming(Java)","Discrete Mathematics","Are you affiliated in any School Organization in the university? (example Computer Society, PASIGYAW, LUNDAYAN, Himig Chorale)"
21-00357,BSIT-1A,18,1,1,1,1,3,,2,2,2,2,2,2,0
21-00285,BSIT-1B,18,0,1,1,1,3,4,4,4,5,3,4,2,0
21-01024,BSIT-1C,18,0,1,2,1,1,4,4,3,5,4,3,3,0
21-00006,BSIT-1B,20,0,1,1,2,1,4,4,4,5,4,4,4,0
21-00991,BSIT-1C,19,0,1,2,1,1,4,5,4,5,4,3,2,0
21-00268,BSIT-1A,19,1,1,2,1,3,4,5,5,5,3,5,3,0
21-00095,BSIT-1B,19,0,1,3,2,3,4,4,4,4,3,4,3,0
21-01069,BSIT-1D,22,1,1,2,2,5,2,4,4,4,3,4,2,1
21-01100,BSIT-1D,22,1,1,2,1,5,1,2,2,2,3,1,1,0
21-00997,BSIT-1C,21,1,1,1,1,5,4,4,3,4,2,2,2,0
21-01095,BSIT-1D,22,0,1,2,1,5,3,3,3,3,2,4,2,1
21-00951,BSIT-1D,22,1,1,3,1,5,3,3,3,3,2,4,2,0
21-00943,BSIT-1D,22,0,1,2,2,3,4,3,3,3,3,4,2,0
21-00681,BSIT-1C,18,1,1,1,2,1,4,4,4,5,3,2,2,0
21-00922,BSIT-1D,22,1,1,1,2,1,2,3,3,2,2,1,1,0
021-00965,BSIT-1D,22,0,1,1,1,5,2,3,3,4,3,3,2,0
21-00854,BSIT-1C,19,1,1,1,2,1,4,4,4,3,2,4,3,0
21-00942,BSIT-1D,22,1,1,2,2,5,2,3,4,4,3,3,2,1
21-00862,BSIT-1B,19,1,1,2,1,1,4,5,4,4,4,4,4,0
21-01005,BSIT-1D,22,0,1,1,1,5,1,3,4,3,3,3,1,0
02-00958,BSIT-1D,22,1,1,1,1,5,3,3,4,3,2,2,2,0
21-01088,BSIT-1D,22,1,1,1,2,5,3,4,4,5,3,5,2,0
21-00659,BSIT-1C,19,0,1,1,2,1,4,5,3,5,5,3,3,1
21-00661,BSIT-1A,19,0,1,2,2,1,4,4,4,4,3,4,3,0
21-00960,BSIT-1D,22,0,1,1,1,5,3,3,3,3,3,3,2,1
21-00954,BSIT-1D,22,1,1,2,1,5,3,3,4,4,3,4,2,0
21-00693,BSIT-1A,19,0,1,2,1,1,4,5,4,5,4,4,3,0
21-00775,BSIT-1B,19,0,1,1,1,1,3,4,3,4,4,4,4,0
21-00924,BSIT-1D,22,0,1,2,2,5,1,3,4,2,2,2,2,0
21-00925,BSIT-1D,22,0,1,1,1,5,1,4,4,5,2,4,2,0
21-01089,BSIT-1D,22,1,1,1,2,1,2,3,4,4,2,2,2,0
21-00148,BSIT-1B,18,1,1,2,1,3,4,5,5,5,5,4,4,1
21-01087,BSIT-1D,22,1,1,1,1,5,3,3,4,3,3,2,1,0
21-00935,BSIT-1D,22,0,1,1,1,5,1,3,4,3,3,3,2,1
"II I-OIOIXI",BSIT-1D,22,0,1,1,1,5,1,3,2,2,2,2,2,0
21-00185,BSIT-1A,19,1,1,2,1,3,4,5,4,5,4,4,3,0
21-00421,BSIT-1A,19,1,1,2,2,3,3,4,3,4,4,4,1,0
" 21-00734 ",BSIT-1A,18,0,1,2,1,1,5,5,4,5,4,5,3,0
"21-00746 ",BSIT-1A,19,0,1,2,1,3,4,5,5,5,4,4,4,1
21-00595,BSIT-1B,18,0,1,1,2,3,4,4,4,5,4,4,4,0
21-00061,BSIT-1B,19,0,1,2,2,3,4,4,5,5,4,4,4,0
21-00947,BSIT-1D,22,0,1,2,1,5,2,3,2,3,2,3,1,0
21-00090,BSIT-1A,18,1,1,3,1,3,3,4,3,5,3,4,3,0
21-00377,BSIT-1B,20,1,1,2,1,3,3,3,2,4,4,4,2,0
21-00930,BSIT-1D,22,0,1,1,2,5,2,3,4,4,3,4,2,0
21-010231023,BSIT-1C,21,1,1,1,1,1,3,4,4,4,4,3,2,0
21-00967,BSIT-1D,22,1,1,3,1,5,2,4,3,3,3,3,2,0
21-00700,BSIT-1C,19,1,1,1,1,1,2,3,3,4,2,3,2,0
21-01065,BSIT-1D,22,0,1,2,1,5,3,3,3,3,3,4,2,0
21-00715,BSIT-1C,20,1,2,1,1,1,4,4,4,4,4,3,2,0
21-00709,BSIT-1C,19,0,1,1,1,1,4,5,4,5,4,4,3,0
21-00908,BSIT-1C,19,1,2,1,2,1,4,4,4,4,3,4,2,0
21-00946,BSIT-1D,22,0,1,2,2,1,3,3,3,2,2,1,2,1
21-00315,BSIT-1B,20,0,1,1,1,1,4,4,3,4,4,4,2,0
21-00596,BSIT-1B,18,1,1,1,2,1,4,4,4,5,4,4,4,0
21-00955,BSIT-1D,22,0,1,1,1,5,3,3,4,3,2,2,1,0
21-00010,BSIT-1B,19,0,1,1,2,1,4,4,4,5,3,5,3,0
12-00058,BSIT-1B,18,0,1,1,2,3,4,3,4,4,2,4,2,0
21-01067,BSIT-1D,22,1,1,2,2,5,1,3,2,3,2,2,1,0
10-1239,BSIT-1D,22,1,1,2,1,5,3,3,2,2,2,2,1,0
21-00532,BSIT-1B,19,1,1,1,1,3,5,5,5,5,5,5,3,1
21-00996,BSIT-1C,19,1,1,1,1,1,4,4,4,4,3,3,2,0
20-00725,BSIT-1C,18,1,1,1,2,1,4,3,2,2,3,2,2,0
21-00753,BSIT-1B,19,1,1,2,1,3,3,4,3,4,4,5,2,0
21-00556,BSIT-1A,18,1,1,1,1,3,4,4,4,4,3,5,3,0
21-00159,BSIT-1B,19,1,1,2,1,3,4,5,3,5,5,4,4,0
21-00749,BSIT-1C,20,1,1,1,2,1,5,4,4,5,4,5,4,0
21-00180,BSIT-1B,19,1,2,2,1,3,4,4,4,5,4,5,3,0
" 21-00416",BSIT-1B,19,0,1,3,1,3,4,4,4,5,4,5,3,0
"21-00719 ",BSIT-1C,18,0,1,1,2,1,4,5,4,4,4,5,3,0
21-00-980,BSIT-1C,19,0,1,1,1,1,4,4,3,4,3,4,2,0
21-00986,BSIT-1C,18,0,1,1,1,1,4,4,3,4,4,3,2,1
21-00995,BSIT-1C,18,0,1,1,1,1,4,4,4,4,3,5,2,0
21-00655,BSIT-1C,18,0,2,2,2,1,4,4,4,4,4,5,2,0
21-00342,BSIT-1B,19,1,1,2,1,1,5,5,5,4,4,5,4,1
21-00057,BSIT-1A,19,0,1,2,2,3,5,5,4,4,4,5,3,0
21-000425,BSIT-1B,19,0,1,3,2,3,4,4,4,4,4,4,4,0
21-00699,BSIT-1C,18,0,1,1,1,1,4,5,4,4,5,5,4,0
21-00299,BSIT-1B,19,1,1,2,2,3,3,4,3,4,4,4,3,0
21-00976,BSIT-1C,20,0,1,1,1,1,3,5,4,5,3,3,2,1
21-00895,BSIT-1C,19,0,1,2,2,1,4,4,4,4,4,2,3,0
21-00705,BSIT-1C,19,1,1,1,1,1,4,5,4,5,3,4,3,0
21-01014,BSIT-1C,19,0,1,1,1,1,3,3,2,4,3,3,1,0
21-00998,BSIT-1C,19,1,1,3,1,1,4,4,5,5,4,5,4,0
21-00999,BSIT-1C,19,0,1,2,1,1,3,3,4,4,4,4,2,0
21-00219,BSIT-1A,18,0,1,1,1,3,4,4,4,4,4,5,2,0
21-00855,BSIT-1C,18,1,1,1,2,1,4,5,4,5,4,5,3,0
21-00984,BSIT-1C,19,0,1,1,1,1,3,3,2,2,2,1,1,0
21-00683,BSIT-1B,19,1,1,2,1,1,4,4,5,4,4,4,3,0
21-00010,BSIT-1A,19,0,1,1,1,1,4,4,4,5,4,4,3,0
21-00752,BSIT-1B,21,1,1,3,1,3,3,5,4,5,4,4,2,1
21-00697,BSIT-1C,19,1,1,1,1,1,4,5,4,4,4,3,3,0
"21-00376 ",BSIT-1B,18,0,1,1,2,3,5,4,5,5,4,5,3,0
21-01108,BSIT-1A,21,1,1,1,1,5,4,5,5,5,4,4,2,0
21-00993,BSIT-1C,19,1,2,2,2,1,3,5,4,4,4,2,2,0
21-00571,BSIT-1B,18,0,1,1,1,3,4,5,5,5,5,4,4,0
21-00544,BSIT-1B,18,0,1,3,1,3,4,5,4,4,4,4,3,0
21-00609,BSIT-1B,20,0,1,2,1,3,4,3,3,1,3,4,1,1
21-00680,BSIT-1C,19,1,1,2,1,1,3,4,5,4,4,5,4,0
21-00437,BSIT-1B,18,1,1,1,1,1,4,4,3,4,4,5,4,0
21-00056,BSIT-1A,20,1,1,2,1,3,4,4,4,4,3,4,2,0
"21-00985 ",BSIT-1C,19,0,2,2,2,1,4,4,4,4,3,4,2,0
21-000323,BSIT-1A,19,1,1,1,1,3,4,4,3,4,3,5,3,0
21-00298,BSIT-1B,19,1,2,4,1,3,4,4,5,5,4,4,4,1
21-00990,BSIT-1C,18,1,2,3,1,1,4,4,3,4,4,3,2,0
21-00349,BSIT-1B,18,1,1,1,2,1,4,4,2,5,3,4,2,0
21-00598,BSIT-1A,20,0,1,1,1,3,2,3,2,1,2,2,1,0
21-00282,BSIT-1A,19,1,1,2,1,3,4,4,4,5,4,5,3,0
21-00206,BSIT-1A,18,1,1,1,1,3,3,4,4,4,3,4,2,0
20-00363,BSIT-1B,21,1,1,1,1,1,3,5,4,3,3,2,2,0
21-00614,BSIT-1B,19,0,1,3,1,3,3,4,3,5,4,4,3,0
21-00186,BSIT-1B,18,1,1,1,1,3,4,5,3,4,3,4,3,0
21-00919,BSIT-1D,22,1,1,1,1,3,2,2,2,2,2,2,1,1
21-00924,BSIT-1D,22,0,1,1,2,5,1,3,4,2,2,2,2,0
21-00919,BSIT-1D,22,1,1,1,1,3,2,2,2,2,2,2,1,1
21-01072,BSIT-1D,22,0,1,1,2,5,1,3,2,1,2,1,1,0
21-00054,BSIT-1A,19,1,1,1,2,3,5,4,4,5,4,4,3,0
21-00322,BSIT-1B,19,1,1,2,1,1,4,4,4,5,3,5,4,0
21-00973,BSIT-1C,19,1,1,5,1,1,4,4,4,4,4,2,2,0
21-00334,BSIT-1A,19,0,1,2,1,3,4,4,3,4,3,4,2,0
21-01015,BSIT-1C,18,0,1,1,1,1,4,3,4,4,4,3,2,1
"21-01043	",BSIT-1C,20,1,1,2,2,1,4,4,3,4,3,3,2,0
21-00943,BSIT-1D,22,1,1,2,1,5,1,3,3,3,1,4,2,0
21-00500,BSIT-1A,19,0,1,2,1,3,4,4,4,4,3,4,2,0
21-01110,BSIT-1D,22,0,1,2,2,5,3,3,3,4,3,3,2,0
21-00206,BSIT-1A,18,1,1,1,1,3,4,4,4,4,3,4,2,0
21-00257,BSIT-1A,20,1,1,2,1,3,4,4,3,4,3,4,2,0
21-00042,BSIT-1A,20,0,1,1,1,1,4,4,5,5,4,4,2,0
21-00471,BSIT-1A,18,1,1,2,1,3,4,4,3,4,3,4,2,0
21-00637,BSIT-1B,19,1,2,1,1,1,4,4,4,4,4,4,2,0
21-00102,BSIT-1A,22,0,2,3,2,3,4,4,5,5,3,2,2,0
21-00339,BSIT-1A,19,0,1,1,1,1,4,4,3,4,3,3,2,0
21-00648,BSIT-1B,19,1,1,3,2,1,4,4,3,5,4,5,4,0
21-00636,BSIT-1A,18,1,1,2,1,3,3,5,4,5,4,5,2,0
21-00235,BSIT-1A,19,0,1,2,1,1,4,4,4,5,3,3,2,0
21-00946,BSIT-1D,22,0,1,4,1,5,3,3,3,2,1,1,2,1
21-00994,BSIT-1C,20,0,1,1,1,1,4,3,2,3,2,1,1,0
21-00896,BSIT-1A,20,0,1,1,1,1,4,5,4,5,4,5,3,0
21-00989,BSIT-1C,18,1,1,2,1,1,4,4,4,4,4,4,2,0
21-00195,BSIT-1B,19,1,1,1,1,1,3,4,3,4,3,4,3,0
21-00975,BSIT-1C,19,1,1,1,1,1,4,3,4,4,3,3,2,0
2100343,BSIT-1B,19,1,1,2,1,1,5,4,5,5,4,5,4,0
21-00958,BSIT-1D,22,1,1,1,1,5,3,4,4,3,1,2,2,0
21-00581,BSIT-1B,19,1,1,2,1,3,3,4,5,4,3,3,2,0
07-0223,BSIT-1D,22,1,1,1,1,5,2,3,2,4,2,2,1,0
21-01081,BSIT-1D,22,0,1,1,2,5,4,3,3,4,1,4,2,0
21-01012,BSIT-1C,19,1,1,2,1,1,3,4,3,4,3,3,3,0
21-00194,BSIT-1B,19,1,1,2,1,1,4,4,4,5,3,4,2,0
21-00065,BSIT-1B,18,1,1,4,2,1,4,4,3,5,4,4,2,0
21-00066,BSIT-1A,18,0,2,1,2,1,5,4,5,5,4,5,3,0
21-00386,BSIT-1A,20,0,1,1,2,3,3,4,4,5,4,4,3,1
21-01052,BSIT-1A,18,1,1,1,1,1,3,4,4,4,3,4,2,0
21-00011,BSIT-1A,19,1,1,2,2,1,4,4,3,5,4,5,4,0
21-00069,BSIT-1A,19,1,1,3,2,3,4,4,4,4,4,3,2,0
21-0004,BSIT-1A,20,1,1,2,1,3,3,4,4,5,3,2,2,0
21-00380,BSIT-1A,18,1,1,2,2,1,4,4,3,4,3,4,2,0
21-0010,BSIT-1A,19,0,1,1,1,1,4,3,2,4,2,2,1,0
21-00016,BSIT-1A,20,0,1,1,1,3,4,4,4,5,3,5,2,0
21-00193,BSIT-1A,19,1,1,2,1,1,4,4,4,4,3,3,1,0
29-00021,BSIT-1A,20,0,1,1,2,1,3,4,4,4,1,1,1,0
