Student Number,Section,Age,Gender,Address,Parent's monthly income,Last School Attended(High School),Track,General Weighted Average(GWA) - Grade 11 and 12,Mathematics in the Modern World,Introduction to Computing,Fundamentals of Programming (C++),Purposive Communication,Intermediate Programming(Java),Discrete Mathematics,"Are you affiliated in any School Organization in the university? (example Computer Society, PASIGYAW, LUNDAYAN, Himig Chorale)",CONTINUE/STOP
19-00511,BSIT-3D,18,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
19-01224,BSIT-3D,19,Female,PR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00442,BSIT-3D,18,Male,PR,"below 9,520.00",Public,ABM,85 - 89,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00481,BSIT-3D,18,Female,PR,"below 9,520.00",Public,TVL,85 - 89,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00512,BSIT-3D,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,85 - 89,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00557,BSIT-3D,18,Male,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
19-00521,BSIT-3D,19,Male,NPR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.50 - 3.00,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
19-01111,BSIT-3D,18,Female,PR,"38,081.00 - 60,640.00",Private,TVL,85 - 89,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00466,BSIT-3D,18,Female,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00578,BSIT-3D,19,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00424,BSIT-3E,19,Female,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00455,BSIT-3E,18,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,2.49 - 2.00,No,Continue
19-00593,BSIT-3E,19,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00425,BSIT-3E,19,Female,PR,"below 9,520.00",Public,TVL,85 - 89,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00400,BSIT-3E,19,Male,PR,"38,081.00 - 60,640.00",Public,TVL,90 - 95,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
19-01261,BSIT-3E,18,Female,PR,"below 9,520.00",Public,ABM,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00509,BSIT-3E,18,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
16-00695,BSIT-3E,20,Female,PR,"below 9,520.00",Private,TVL,90 - 95,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00523,BSIT-3E,19,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
19-01278,BSIT-3E,20,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00502,BSIT-3E,19,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00437,BSIT-3E,18,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,Yes,Continue
19-00454,BSIT-3E,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,81 - 84,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,No,Continue
19-00610,BSIT-3E,20,Male,NPR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00531,BSIT-3E,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
19-01247,BSIT-3E,19,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.49 - 2.00,No,Continue
19-00493,BSIT-3E,19,Female,PR,"below 9,520.00",Public,ABM,90 - 95,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,No,Continue
19-00464,BSIT-3E,19,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
19-00617,BSIT-3E,19,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,1.99  - 1.50,No,Continue
19-00570,BSIT-3E,19,Female,PR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,Yes,Continue
19-01147,BSIT-3E,19,Male,PR,"below 9,520.00",Public,TVL,81 - 84,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00399,BSIT-3E,20,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.49 - 2.00,No,Continue
19-00620,BSIT-3E,19,Female,PR,"below 9,520.00",Public,TVL,85 - 89,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00474,BSIT-3E,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,85 - 89,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
19-01246,BSIT-3E,19,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00545,BSIT-3E,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,No,Continue
19-00396,BSIT-3E,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,No,Continue
19-00370,BSIT-3E,19,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,No,Continue
19-00436,BSIT-3E,19,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00515,BSIT-3E,19,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,No,Continue
19-01072,BSIT-3E,19,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00368,BSIT-3E,20,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,1.49 - 1.00,2.50 - 3.00,2.49 - 2.00,No,Continue
19-00412,BSIT-3E,19,Male,PR,"19,041.00 - 38,080.00",Public,TVL,85 - 89,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
19-00435,BSIT-3E,19,Female,PR,"below 9,520.00",Public,TVL,85 - 89,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00479,BSIT-3E,20,Female,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
19-01188,BSIT-3E,19,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,No,Continue
19-00618,BSIT-3E,20,Female,PR,"below 9,520.00",Public,TVL,85 - 89,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00556,BSIT-3E,20,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00595,BSIT-3E,18,Female,PR,"9,520.00 - 19,040.00",Public,TVL,81 - 84,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00431,BSIT-3E,19,Female,PR,"9,520.00 - 19,040.00",Public,TVL,96 and above,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
19-01113,BSIT-3E,20,Female,PR,"9,520.00 - 19,040.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,Yes,Continue
19-00457,BSIT-3E,20,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.50 - 3.00,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,No,Continue
18-01037,,18,M,PR,"below 9,520.00",Public,TVL,81 - 84,2.50 - 3.00,2.50 - 3.00,below 3.00,2.49 - 2.00,below 3.00,2.50 - 3.00,No,Stop
18-00426,,18,F,NPR,"below 9,520.00",Private,TVL,85 - 89,below 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Stop
18-00621,,18,M,PR,"below 9,520.00",Private,TVL,90 - 95,2.50 - 3.00,below 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Stop
18-00997,,18,M,PR,"below 9,520.00",Public,TVL,75 - 80,below 3.00,below 3.00,below 3.00,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,No,Stop
18-00954,,18,M,PR,"below 9,520.00",Public,TVL,75 - 80,below 3.00,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,No,Stop
18-00570,,18,F,PR,"below 9,520.00",Private,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,below 3.00,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,No,Stop
18-01032,,18,M,PR,"below 9,520.00",Private,TVL,75 - 80,below 3.00,2.50 - 3.00,below 3.00,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,No,Stop
18-00657,,18,F,PR,"below 9,520.00",Public,ABM,85 - 89,2.50 - 3.00,below 3.00,below 3.00,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,No,Stop
18-00940,,18,F,PR,"below 9,520.00",Public,TVL,81 - 84,below 3.00,below 3.00,below 3.00,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,No,Stop
18-01029,,18,M,PR,"below 9,520.00",Public,TVL,75 - 80,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,below 3.00,No,Stop
18-00999,,18,M,PR,"below 9,520.00",Public,TVl-HE,75 - 80,below 3.00,below 3.00,below 3.00,2.50 - 3.00,2.50 - 3.00,below 3.00,No,Stop
18-00953,,18,F,PR,"below 9,520.00",Private,TVL,90 - 95,below 3.00,2.50 - 3.00,2.50 - 3.00,below 3.00,below 3.00,below 3.00,No,Stop
18-00393,,18,F,PR,"below 9,520.00",Public,TVL,85 - 89,below 3.00,below 3.00,below 3.00,below 3.00,below 3.00,below 3.00,No,Stop
18-00879,,18,M,PR,"below 9,520.00",Private,TVL,85 - 89,2.50 - 3.00,below 3.00,2.50 - 3.00,below 3.00,below 3.00,below 3.00,No,Stop
18-00731,,18,F,PR,"below 9,520.00",Private,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Stop
18-00711,,18,M,PR,"below 9,520.00",Private,TVL,85 - 89,below 3.00,below 3.00,below 3.00,below 3.00,below 3.00,below 3.00,No,Stop
18-00431,,18,M,PR,"below 9,520.00",Public,ABM,81 - 84,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,below 3.00,below 3.00,below 3.00,No,Stop
18-00478,,18,M,PR,"below 9,520.00",Public,ABM,81 - 84,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,below 3.00,below 3.00,below 3.00,No,Stop
18-00310,,18,F,PR,"below 9,520.00",Public,ABM,85 - 89,2.49 - 2.00,2.50 - 3.00,below 3.00,below 3.00,below 3.00,below 3.00,No,Stop
18-00721,,18,F,PR,"below 9,520.00",Public,ABM,85 - 89,below 3.00,below 3.00,below 3.00,below 3.00,below 3.00,below 3.00,No,Stop
18-00880,,18,M,PR,"below 9,520.00",Private,TVL,81 - 84,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,below 3.00,below 3.00,below 3.00,No,Stop
18-00414,,18,F,PR,"below 9,520.00",Private,TVL,81 - 84,2.49 - 2.00,2.50 - 3.00,below 3.00,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,No,Stop
18-00924,,18,M,PR,"below 9,520.00",Public,TVL,75 - 80,below 3.00,below 3.00,below 3.00,2.50 - 3.00,2.50 - 3.00,below 3.00,No,Stop
18-00499,,18,M,NPR,"below 9,520.00",Private,TVL,90 - 95,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,No,Stop
18-00374,,18,F,PR,"below 9,520.00",Public,TVL,81 - 84,below 3.00,below 3.00,2.50 - 3.00,1.99  - 1.50,below 3.00,below 3.00,No,Stop
18-00300,,18,M,PR,"below 9,520.00",Private,TVL,81 - 84,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Stop
18-00433,BSIT-4A,21,Male,PR,"19,041.00 - 38,080.00",Public,TVL,85 - 89,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,Yes,Continue
18-00370,BSIT-4A,19,Male,PR,"19,041.00 - 38,080.00",Public,TVL,85 - 89,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00484,BSIT-4A,18,Female,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,Yes,Continue
18-00635,BSIT-4A,19,Male,PR,"below 9,520.00",Public,TVL,85 - 89,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00322,BSIT-4A,19,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,Yes,Continue
18-00297,BSIT-4A,18,Male,PR,"19,041.00 - 38,080.00",Public,TVL,81 - 84,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,Yes,Continue
18-00483,BSIT-4A,18,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
18-00462,BSIT-4A,19,Female,NPR,"19,041.00 - 38,080.00",Private,TVL,90 - 95,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,Yes,Continue
18-00317,BSIT-4A,19,Female,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00323,BSIT-4A,19,Male,PR,"below 9,520.00",Public,ABM,81 - 84,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00407,BSIT-4A,18,Male,PR,"below 9,520.00",Public,ABM,81 - 84,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,Yes,Continue
18-00308,BSIT-4A,19,Female,PR,"below 9,520.00",Public,TVL,96 and above,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00330,BSIT-4A,18,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00338,BSIT-4A,19,Male,NPR,"9,520.00 - 19,040.00",Public,TVL,85 - 89,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00296,BSIT-4A,19,Male,PR,"below 9,520.00",Public,TVL,85 - 89,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00458,BSIT-4A,19,Male,PR,"below 9,520.00",Public,ABM,85 - 89,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
18-00620,BSIT-4A,18,Male,PR,"9,520.00 - 19,040.00",Public,TVL,85 - 89,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
18-01038,BSIT-4A,19,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00455,BSIT-4A,18,Male,PR,"9,520.00 - 19,040.00",Private,TVL,85 - 89,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00964,BSIT-4A,19,Male,NPR,"above 60,640.00",Private,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
18-00873,BSIT-4A,19,Female,PR,"19,041.00 - 38,080.00",Public,ABM,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00972 ,BSIT-4A,19,Male,PR,"19,041.00 - 38,080.00",Public,ABM,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,Yes,Continue
18-00457,BSIT-4A,19,Female,PR,"below 9,520.00",Public,ABM,85 - 89,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
