Student Number,Section,Age,Gender,Address,Parent's monthly income,Last School Attended(High School),Track,General Weighted Average(GWA) - Grade 11 and 12,Mathematics in the Modern World,Introduction to Computing,Fundamentals of Programming (C++),Purposive Communication,Intermediate Programming(Java),Discrete Mathematics,"Are you affiliated in any School Organization in the university? (example Computer Society, PASIGYAW, LUNDAYAN, Himig Chorale)",CONTINUE/STOP
18-00475,BSIT-4A,18,Male,PR,"19,041.00 - 38,080.00",Public,TVL,90 - 95,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00421,BSIT-4B,19,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00321,BSIT-4B,19,Male,PR,"9,520.00 - 19,040.00",Private,TVL,90 - 95,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00327,BSIT-4B,18,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00381,BSIT-4B,18,Female,NPR,"9,520.00 - 19,040.00",Private,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,Yes,Continue
18-00427,BSIT-4B,19,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00366,BSIT-4B,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,Yes,Continue
18-00333,BSIT-4B,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,81 - 84,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,Yes,Continue
18-00318,BSIT-4B,18,Male,PR,"below 9,520.00",Public,TVL,81 - 84,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00878,BSIT-4B,18,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00369,BSIT-4B,18,Female,NPR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00314,BSIT-4B,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,Yes,Continue
18-00415,BSIT-4B,18,Female,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00430,BSIT-4B,19,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00417,BSIT-4B,19,Female,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00493,BSIT-4B,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,No,Continue
18-00449,BSIT-4B,18,Female,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,Yes,Continue
18-00342,BSIT-4B,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,81 - 84,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00434,BSIT-4B,19,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00404,BSIT-4B,18,Male,PR,"9,520.00 - 19,040.00",Public,TVL,85 - 89,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,No,Continue
18-00422,BSIT-4B,18,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00303,BSIT-4B,18,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00429,BSIT-4B,18,Male,PR,"below 9,520.00",Public,ABM,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00305,BSIT-4B,18,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,No,Continue
18-00388,BSIT-4C,19,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,Yes,Continue
18-00376,BSIT-4C,19,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00354,BSIT-4C,19,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00420,BSIT-4C,19,Female,PR,"below 9,520.00",Public,TVL,85 - 89,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00353,BSIT-4C,19,Male,NPR,"9,520.00 - 19,040.00",Public,TVL,85 - 89,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,Yes,Continue
18-00438,BSIT-4C,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
18-00633,BSIT-4C,19,Female,PR,"below 9,520.00",Public,TVL,85 - 89,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,Yes,Continue
18-00464,BSIT-4C,19,Female,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,Yes,Continue
18-00392,BSIT-4C,18,Male,PR,"19,041.00 - 38,080.00",Public,TVL,85 - 89,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00416,BSIT-4C,18,Male,PR,"19,041.00 - 38,080.00",Public,TVL,81 - 84,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00343,BSIT-4C,18,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,2.49 - 2.00,No,Continue
18-00299,BSIT-4C,19,Female,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,No,Continue
18-00466,BSIT-4C,19,Female,PR,"19,041.00 - 38,080.00",Public,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,Yes,Continue
18-00403,BSIT-4C,18,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00364,BSIT-4C,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00454,BSIT-4C,19,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00890,BSIT-4C,19,Female,PR,"below 9,520.00",Public,TVL,81 - 84,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00306,BSIT-4C,18,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,Yes,Continue
18-00331,BSIT-4C,18,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00377,BSIT-4C,19,Female,PR,"below 9,520.00",Public,TVL,81 - 84,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00445,BSIT-4C,19,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00696,BSIT-4D,19,Male,PR,"below 9,520.00",Private,TVL,90 - 95,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,Yes,Continue
18-00345,BSIT-4D,18,Female,PR,"below 9,520.00",Public,ABM,85 - 89,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,Yes,Continue
18-00720,BSIT-4D,19,Male,PR,"9,520.00 - 19,040.00",Private,TVL,96 and above,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,1.49 - 1.00,2.49 - 2.00,No,Continue
18-00533,BSIT-4D,18,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00715,BSIT-4D,19,Female,PR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00411,BSIT-4D,18,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,Yes,Continue
18-00425,BSIT-4D,19,Female,NPR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
18-01046,BSIT-4D,19,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00473,BSIT-4D,19,Male,PR,"9,520.00 - 19,040.00",Public,ABM,90 - 95,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00456,BSIT-4D,19,Male,PR,"below 9,520.00",Public,ABM,90 - 95,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
18-00372,BSIT-4D,19,Female,PR,"9,520.00 - 19,040.00",Private,TVL,85 - 89,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00384,BSIT-4D,19,Female,PR,"below 9,520.00",Public,ABM,90 - 95,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00636,BSIT-4D,18,Female,PR,"below 9,520.00",Public,ABM,85 - 89,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00200,BSIT-4D,18,Male,PR,"9,520.00 - 19,040.00",Private,TVL,90 - 95,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,Yes,Continue
18-01016,BSIT-4D,18,Male,PR,"9,520.00 - 19,040.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00375,BSIT-4D,19,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,Yes,Continue
18-00567,BSIT-4E,19,Male,PR,"19,041.00 - 38,080.00",Public,TVL,90 - 95,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,No,Continue
18-00355,BSIT-4E,18,Male,PR,"19,041.00 - 38,080.00",Public,TVL,90 - 95,2.49 - 2.00,1.99  - 1.50,1.49 - 1.00,1.99  - 1.50,1.49 - 1.00,2.49 - 2.00,No,Continue
18-00351,BSIT-4E,19,Female,PR,"below 9,520.00",Public,TVL,81 - 84,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00408,BSIT-4E,19,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,No,Continue
18-00723,BSIT-4E,18,Male,PR,"9,520.00 - 19,040.00",Public,TVL,81 - 84,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00435,BSIT-4E,18,Female,PR,"below 9,520.00",Public,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,2.50 - 3.00,2.50 - 3.00,No,Continue
19-00378,BSIT-4E,19,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.49 - 1.00,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00302,BSIT-4E,18,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00567,BSIT-4E,19,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00390,BSIT-4E,19,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,Yes,Continue
18-01036,BSIT-4E,18,Male,PR,"38,081.00 - 60,640.00",Public,STEM,90 - 95,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00347,BSIT-4E,19,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,No,Continue
18-00380,BSIT-4E,19,Male,NPR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00936,BSIT-4E,18,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,1.49 - 1.00,1.49 - 1.00,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,No,Continue
18-00441,BSIT-4E,19,Female,PR,"below 9,520.00",Public,ABM,85 - 89,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,1.49 - 1.00,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00756,BSIT-4E,19,Male,PR,"below 9,520.00",Public,TVL,75 - 80,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00328,BSIT-4E,19,Female,PR,"9,520.00 - 19,040.00",Public,TVL,90 - 95,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00398,BSIT-4E,18,Female,PR,"below 9,520.00",Public,ABM,85 - 89,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00704,BSIT-4F,19,Male,PR,"19,041.00 - 38,080.00",Private,TVL,85 - 89,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,No,Continue
18-00800,BSIT-4F,19,Male,PR,"below 9,520.00",Public,TVL,85 - 89,1.99  - 1.50,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,1.99  - 1.50,2.50 - 3.00,No,Continue
18-00798,BSIT-4F,19,Female,NPR,"9,520.00 - 19,040.00",Private,TVL,90 - 95,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00796,BSIT-4F,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,85 - 89,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,Yes,Continue
18-00810,BSIT-4F,18,Female,PR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
16-00804,BSIT-4F,19,Male,PR,"19,041.00 - 38,080.00",Public,TVL,85 - 89,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00959,BSIT-4F,19,Male,PR,"9,520.00 - 19,040.00",Public,TVL,75 - 80,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,No,Continue
18-01031,BSIT-4F,19,Female,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00705,BSIT-4F,19,Male,NPR,"19,041.00 - 38,080.00",Private,TVL,90 - 95,2.49 - 2.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,Yes,Continue
18-00774,BSIT-4F,19,Female,PR,"below 9,520.00",Public,TVL,85 - 89,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,1.49 - 1.00,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00809,BSIT-4F,19,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00813,BSIT-4F,19,Female,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00803,BSIT-4F,18,Male,PR,"19,041.00 - 38,080.00",Public,TVL,90 - 95,2.50 - 3.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.49 - 2.00,No,Continue
18-00806,BSIT-4F,19,Male,NPR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00805,BSIT-4F,18,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
18-01022,BSIT-4F,19,Female,PR,"below 9,520.00",Public,ABM,85 - 89,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00832,BSIT-4F,19,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.50 - 3.00,2.49 - 2.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00807,BSIT-4F,18,Male,PR,"below 9,520.00",Public,TVL,90 - 95,2.49 - 2.00,2.49 - 2.00,2.49 - 2.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue
18-00802,BSIT-4F,18,Male,PR,"below 9,520.00",Public,TVL,85 - 89,2.49 - 2.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.49 - 2.00,2.50 - 3.00,No,Continue
18-00795,BSIT-4F,18,Female,PR,"below 9,520.00",Public,TVL,90 - 95,2.50 - 3.00,2.50 - 3.00,2.50 - 3.00,1.99  - 1.50,2.50 - 3.00,2.50 - 3.00,No,Continue